customerid,churn_probability,monthlycharges,expected_saved_revenue,retention_priority_score,risk_reasons,recommended_offer,contract,internetservice,tenure,ai_generated_message
6861-XWTWQ,86.8,99.25,25.84,8614.9,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,7,"We’ve loved having you with us for the past seven months on your high‑speed fiber optic plan, and we want to make sure you continue enjoying reliable service at a great value. As a thank‑you for being a new, month‑to‑month customer, we’re offering you a 10 % discount on your $99.25 monthly bill for the next three months, plus the option to upgrade to a discounted annual contract that locks in that lower rate and adds complimentary tech support and online security protection. If you’d like to take advantage of either offer or have any questions, just reply to this email or give us a call—our team is here to help."
9681-OXGVC,85.5,100.5,25.79,8592.75,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,5,"We noticed you’ve been enjoying our fiber‑optic internet for the past five months, and we’d love to keep delivering the fast, reliable connection you rely on. As a thank‑you for staying with us, we’re offering you a 10 % discount on your monthly $100.50 bill, plus the option to upgrade to a longer‑term contract that locks in this lower rate and adds complimentary tech‑support and online‑security protection. Let us know if you’d like to activate the discount and explore the upgraded plan—our team is ready to help you make the switch effortlessly."
2446-BEGGB,87.4,98.25,25.75,8587.05,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,6,"We’ve noticed you’ve been enjoying our fiber‑optic service for the past six months, and we truly value having you with us on a month‑to‑month plan. To show our appreciation, we’d like to apply a 10 % discount to your next three monthly bills and offer you a seamless upgrade to an annual contract—locking in that lower rate for the whole year. This way you keep the ultra‑fast speeds you love while saving even more. If you have any questions or need assistance setting it up, our support team is ready to help."
3178-FESZO,85.5,100.25,25.72,8571.38,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve noticed you’ve only just started enjoying our fiber‑optic service, and we want to make sure it’s a perfect fit for you. To help you settle in, we’re offering a 10 % discount on your next three monthly bills and an easy upgrade to a low‑rate 12‑month plan that locks in today’s price. With that plan you’ll also receive priority tech‑support and basic online‑security protection at no extra cost, so you can stay connected and protected without any surprise fees. If you have any questions or would like to apply the offer, just reply to this email and we’ll take care of the rest."
5299-SJCZT,83.9,101.55,25.57,8520.04,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve loved having you with us for the past three months on your fiber‑optic plan, and we want to make sure you keep enjoying lightning‑fast, reliable service. As a thank‑you for being a new customer, we’re offering a 10 % discount on your monthly $101.55 bill for the next three months—plus the option to upgrade to a longer‑term contract at an even lower rate. This upgrade not only locks in your savings but also adds complimentary tech‑support and online security protection at no extra cost. Let us know if you’d like to apply the discount and explore the upgraded plan; we’re here to keep you connected and protected."
9300-AGZNL,90.1,94.0,25.4,8469.4,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you with us for the past month and want to make sure your fiber‑optic internet continues to meet your needs, especially as a month‑to‑month subscriber. To show our appreciation, we’re offering a 10 % discount on your next three bills and a complimentary upgrade to a longer‑term contract that locks in today’s low rate. This way you’ll keep enjoying the fast, reliable service you expect while saving even more. Let us know if you’d like to apply the discount or discuss the upgraded plan – we’re here to help!"
6023-YEBUP,83.8,100.95,25.36,8459.61,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve loved having you with us these past three months, and we want to make sure your fiber‑optic internet continues delivering the speed and reliability you expect. To show our appreciation, we’re offering you a 10 % discount on your next billing cycle and an upgrade to a longer‑term contract that locks in this lower rate for the future. This way you can keep enjoying fast, hassle‑free service while saving even more each month. If you have any questions or need assistance, our support team is ready to help—just let us know."
9497-QCMMS,90.0,93.55,25.27,8419.5,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you connected with our fiber‑optic service these past few weeks, and we want to make sure it stays smooth and affordable for you. To help you settle in, we’re offering a 10 % discount on your next three months and an easy upgrade to a 12‑month contract that locks in this lower rate for the year. If you have any questions or need a quick tech check, our support team is just a call or click away. Let us know how we can keep you enjoying fast, reliable internet without any hassle."
9305-CDSKC,84.5,99.65,25.26,8420.43,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,8,"We’ve enjoyed having you with us for the past eight months and want to make sure your fiber‑optic service continues to deliver the speed and reliability you expect. To show our appreciation, we’re happy to apply a 10 % discount to your monthly $99.65 bill and offer an upgrade to a longer‑term contract that locks in this lower rate for the future. If you have any questions about the upgrade or need assistance setting up additional tech support or online security features, just let us know—our team is ready to help."
3811-VBYBZ,84.1,99.8,25.19,8393.18,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,7,"We’ve loved having you with us for the past seven months and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re offering you a 10 % discount on your monthly $99.80 bill and a complimentary upgrade to a longer‑term contract that locks in this lower rate. If you have any questions or need a quick tech check, our support team is just a click or call away—let us know how we can keep you connected."
1875-QIVME,80.3,104.4,25.14,8383.32,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We’ve loved having you with us for the past two months and want to make sure your fiber‑optic connection keeps working flawlessly for you. To show our appreciation, we’re adding a 10 % discount to your next three monthly bills, and we’d be happy to upgrade you to a longer‑term plan that locks in this lower rate and gives you even higher speeds at no extra cost. If you prefer to stay month‑to‑month, the discount still applies automatically—just let us know if you’d like to explore the upgrade options. Your continued connection is important to us, so feel free to reply here or call our support team anytime."
0781-LKXBR,83.3,100.5,25.12,8371.65,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,9,"We’ve enjoyed having you with us for the past nine months and want to make sure your fiber‑optic connection continues to meet every need. To show our appreciation, we’re adding a 10 % discount to your monthly $100.50 bill for the next three months, and we’d love to upgrade you to a contract‑free plan that includes complimentary tech support and online security at no extra cost. This way you keep the flexibility you value while enjoying added peace of mind and savings. If you’d like to activate the offer or have any questions, just let us know—we’re here to help."
5178-LMXOP,87.9,95.1,25.07,8359.29,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We noticed you’ve just started enjoying our high‑speed fiber service, and we want to make sure it continues to meet your needs. As a thank‑you for choosing us, we’re offering you a 10 % discount on your monthly bill for the next three months, plus the option to lock in an even lower rate with a short‑term contract upgrade. This way you keep the reliable, lightning‑fast connection you love while saving on each payment. If you have any questions or need help setting it up, just let us know—we’re here for you."
0107-YHINA,83.7,99.75,25.04,8349.08,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you with us for the past month on your high‑speed fiber optic plan, and we want to make sure you continue enjoying reliable service without any hassle. As a thank‑you for being a new member, we’re offering you a 10% discount on your monthly $99.75 bill for the next three months, plus the option to upgrade to a simple 12‑month contract that locks in this lower rate and adds complimentary online security tools. If you prefer to keep things month‑to‑month, the discount still applies, and you’ll still benefit from the same fast, uninterrupted internet you signed up for. Let us know how you’d like to proceed, and we’ll take care of the rest."
3992-YWPKO,75.7,109.9,24.96,8319.43,"Month-to-month contract, Fiber optic plan, New customer, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,6,"We noticed you’ve enjoyed six months of our fast‑lane fiber service, and we’d love to keep that momentum going. To thank you for being a valued month‑to‑month member, we’re offering you a 10 % discount on your next three bills, and we’d be happy to upgrade you to a secured, fixed‑term plan that locks in that lower rate for a full year. This way you keep the same lightning‑quick speeds while adding peace of mind and even more savings. Let us know if you’d like to activate the upgrade—you’ll see the discount applied automatically to your upcoming statement."
8098-LLAZX,87.1,95.45,24.94,8313.7,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We’ve enjoyed having you with us for the past four months and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re offering you a 10 % discount on your next three months — plus the option to upgrade to a longer‑term plan that locks in this lower rate and adds extra security features at no extra cost. If you have any questions or need help setting this up, just let us know and we’ll take care of everything for you."
2968-SSGAA,82.2,100.6,24.81,8269.32,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,10,"We’ve loved having you with us for the past 10 months, and we want to make sure your fiber‑optic service continues to meet your needs. As a thank‑you for staying on a month‑to‑month plan, we’re happy to apply a 10 % discount to your next billing cycle and offer an easy upgrade to a longer‑term contract that locks in this lower rate. If you’d like to explore the upgrade or need any assistance setting up tech support or online security, just let us know—our team is ready to help."
2720-WGKHP,87.8,94.0,24.75,8253.2,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We’ve loved having you with us for these first two months on our fiber‑optic plan, and we want to make sure you continue to enjoy fast, reliable service without any hassle. To show our appreciation, we’re offering you a 10 % discount on your monthly $94 charge for the next three months, plus the option to upgrade to a low‑rate, 12‑month contract that locks in that reduced price and adds priority tech support and online security at no extra cost. If you’d like to activate the discount or explore the upgraded plan, just let us know and we’ll set it up right away."
7024-OHCCK,87.9,93.85,24.74,8249.42,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We noticed you’ve been enjoying our fiber‑optic service for the past two months, and we truly value having you with us on a month‑to‑month plan. To thank you for choosing us, we’d like to apply a 10 % discount to your next billing cycle and offer you an upgrade to a flexible 12‑month contract that locks in that lower rate for the future. This way you keep the same fast, reliable connection while saving even more each month. If you have any questions or need help setting it up, just let us know—we’re here for you."
0295-PPHDO,86.3,95.45,24.72,8237.33,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve noticed you’re enjoying our fiber‑optic internet at $95.45 a month, and as a valued new member on a month‑to‑month plan we’d love to help you get even more out of your connection. For the next 60 days we can apply a 10% discount to your bill and also upgrade you to a 12‑month contract that locks in this lower rate while giving you priority tech‑support and free online security tools. This way you’ll keep the blazing speeds you love, save on your monthly charge, and have peace of mind with added protection. Let us know if you’d like to take advantage of this offer, and we’ll set everything up right away."
0655-RBDUG,84.0,98.05,24.72,8236.2,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,7,"We’ve loved having you with us for the past seven months, and we want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re offering you a 10 % discount on your current $98.05 monthly bill, plus the option to upgrade to a longer‑term contract that locks in this lower rate and adds premium tech support and online security at no extra cost. If you’d like to take advantage of these benefits or have any questions, just let us know—we’re here to keep you connected."
0702-PGIBZ,81.0,101.7,24.71,8237.7,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We’ve noticed you’ve been enjoying our fiber‑optic internet for the past four months, and we truly appreciate you choosing us for your home connection. To make staying with us even easier, we’d like to give you a 10 % discount on your monthly $101.70 bill and offer a seamless upgrade to a longer‑term plan that locks in this lower rate. This way you’ll keep the ultra‑fast speeds you love while enjoying added savings and the peace of mind that comes with a stable contract. If you have any questions or need assistance, our support team is ready to help you right away."
4424-TKOPW,87.8,93.85,24.71,8240.03,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We’ve noticed you’ve been with us just two months on your month‑to‑month fiber optic plan, and we truly value you as a new member of our community. To make sure you keep enjoying ultra‑fast speeds, we’d like to apply a 10 % discount to your next billing cycle and offer you an easy upgrade to a longer‑term contract that locks in that lower rate. This way you’ll continue receiving reliable service without the hassle of electronic‑check renewals, plus you’ll have peace of mind with added tech‑support and online‑security benefits. Let us know if you’d like to take advantage of these savings—our team is ready to help."
3158-MOERK,85.7,96.0,24.67,8227.2,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We’ve loved having you on board for the past two months and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re offering you a 10 % discount on your monthly $96 bill for the next three months—plus the option to upgrade to a longer‑term plan that locks in this lower rate and adds extra perks like dedicated tech support and online security tools. If you’d like to switch or apply the discount, just reply to this email or give us a call, and we’ll take care of the rest."
5150-ITWWB,86.6,94.85,24.64,8214.01,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve loved having you enjoy our lightning‑fast fiber optic service for the past three months, and we want to make staying even easier. As a thank‑you for being a valued month‑to‑month member, we’re offering you a 10 % discount on your next billing cycle, plus the option to upgrade to a longer‑term contract that locks in today’s low rate and adds premium tech support and online security at no extra cost. If you’d like to apply the discount or explore the upgraded plan, just reply to this email or give us a quick call, and we’ll take care of the rest."
9057-SIHCH,84.7,96.6,24.54,8182.02,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve noticed you’ve been enjoying our high‑speed fiber optic service for the past three months, and we’d love to keep you connected without any interruptions. As a thank‑you for choosing us, we’re offering you a 10 % discount on your monthly $96.60 bill for the next three months, plus the option to upgrade to a contract plan that locks in that lower rate for the rest of the year. This upgrade not only secures the savings but also adds complimentary tech‑support and online security protection at no extra cost. Let us know if you’d like to activate the discount and upgrade today—our team is ready to help you stay online and worry‑free."
4910-GMJOT,86.4,94.6,24.52,8173.44,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you on board for the past month with our fast‑lane fiber service, and we want to make sure it continues to meet your needs. As a thank‑you for choosing us, we’re happy to apply a 10 % discount to your next bill and offer you an upgrade to a fixed‑term contract that locks in today’s low rate for a full year. This way you’ll keep enjoying reliable, high‑speed internet while enjoying predictable monthly costs and extra peace of mind. If you have any questions or need help setting it up, just let us know—our team is here for you."
6108-OQZDQ,83.4,97.95,24.51,8169.03,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We’ve noticed you’ve been enjoying our fast fiber optic service for the past four months, and we truly value you as a month‑to‑month member. To make staying even easier, we’d like to give you a 10 % discount on your next three bills and offer an upgrade to a 12‑month contract that locks in this lower rate for the year. This also gives you access to priority tech support and our new online security suite at no extra cost. Let us know if you’d like to activate the discount and upgrade – we’re here to keep your connection fast and secure."
1374-DMZUI,86.4,94.3,24.45,8147.52,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We’ve loved having you with us these past four months and want to make sure your fiber‑optic service continues to meet all your needs. To thank you for choosing our month‑to‑month plan, we’re offering a 10 % discount on your next three bills and a complimentary upgrade to a longer‑term contract that locks in today’s low rate. This way you keep enjoying ultra‑fast internet while saving even more each month. If you have any questions or need help setting it up, our support team is just a click away."
8149-RSOUN,86.7,93.85,24.4,8136.8,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you with us for the past month on our high‑speed fiber optic plan, and we want to make sure you continue enjoying that blazing‑fast connection. To show our appreciation, we’re offering you a 10 % discount on your monthly $93.85 bill for the next three months, plus the option to upgrade to a fixed‑term contract that locks in this lower rate and adds complimentary tech support and online security. If you switch to the upgraded plan, you’ll keep the same great speed while gaining peace of mind and extra savings. Let us know if you’d like to activate the discount and upgrade—our team is ready to help you stay connected."
5567-WSELE,85.9,94.6,24.37,8126.14,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We noticed you’ve been enjoying our fiber‑optic internet for the past three months, and we truly appreciate you choosing us for your home connection. To make staying with us even easier, we’re offering you a 10 % discount on your monthly $94.60 bill for the next six months, plus an upgrade to a longer‑term contract that locks in that lower rate. This way you keep the fast, reliable service you love while saving more each month, and you’ll continue to benefit from any future promotions we roll out. If you have any questions or need assistance, just let us know—we’re here to help."
7851-WZEKY,85.3,95.15,24.34,8116.3,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We’ve loved having you with us for the past two months and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. As a thank‑you for choosing our month‑to‑month plan, we’re happy to apply a 10 % discount to your next bill and offer you an easy upgrade to a longer‑term contract that locks in this lower rate. This upgrade also adds complimentary tech‑support and online security tools at no extra cost, so you can enjoy peace of mind without any hassle. Let us know if you’d like to take advantage of these savings—our team is ready to help whenever you are."
9223-UCPVT,85.9,94.4,24.32,8108.96,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We noticed you’ve only just started enjoying our ultra‑fast fiber optic internet and wanted to thank you for choosing us by offering a 10 % discount on your next three monthly bills. To give you even more peace of mind, we can upgrade you to a simple 12‑month contract that locks in this reduced rate and adds complimentary tech support and online security at no extra cost. If you’d like to take advantage of the discount or explore the upgraded plan, just reply to this email or give us a call and we’ll set it up right away."
3049-SOLAY,85.1,95.2,24.3,8101.52,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve loved having you on our lightning‑fast fiber service these past three months, and we want to make staying even easier for you. As a thank‑you for choosing our month‑to‑month plan, we’re happy to apply a 10 % discount to your next billing cycle and offer an upgrade to a 12‑month contract that locks in that lower rate for the year. With the discounted price and a longer‑term commitment, you’ll keep enjoying reliable, high‑speed internet without any hassle. If you have any questions or need help setting it up, just let us know—our support team is ready to assist."
2012-NWRPA,81.2,99.55,24.25,8083.46,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,11,"We’ve loved having you with us for the past 11 months, and we want to make sure your fiber‑optic internet continues to give you the speed and reliability you deserve. As a thank‑you for staying month‑to‑month, we’re offering you a 10 % discount on your $99.55 bill for the next three months, plus an easy upgrade to a longer‑term contract that locks in that lower rate forever. If you’d like to explore the upgrade or have any questions about security or tech support options, just reply to this email and I’ll take care of everything for you."
9172-ANCRX,81.8,98.7,24.22,8073.66,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,10,"We’ve loved having you with us for the past 10 months and want to keep your fast, reliable fiber connection working perfectly for you. To show our appreciation, we’re offering a 10 % discount on your monthly $98.70 bill for the next three months—plus an easy upgrade to a longer‑term plan that locks in that lower rate and adds priority tech support. Let us know if you’d like to apply the discount and explore the upgraded contract, and we’ll take care of the rest."
6688-UZPWD,78.8,102.0,24.12,8037.6,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,11,"We’ve loved having you with us for the past 11 months, and we want to make sure your fiber‑optic experience stays fast, reliable, and affordable. As a thank‑you for staying month‑to‑month, we’re offering you a 10 % discount on your $102 bill for the next three months, plus an easy upgrade to a longer‑term plan that locks in this lower rate and adds priority tech support and online security at no extra cost. If you’d like to take advantage of the discount or explore the upgraded plan, just reply to this email or give us a quick call, and we’ll set it up for you right away."
1455-UGQVH,81.6,98.5,24.1,8037.6,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,10,"We’ve noticed you’ve been enjoying our fast fiber optic service for the past 10 months, and we truly value having you with us on a flexible month‑to‑month plan. To show our appreciation, we’d love to give you a 10 % discount on your next billing cycle and offer an easy upgrade to a longer‑term contract that locks in today’s low rate. This way you keep the same reliable speed you rely on while saving even more each month. If you have any questions or need a quick tech‑support check, just let us know—we’re here to help."
6857-VWJDT,83.9,95.65,24.09,8025.04,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve noticed you’ve just started enjoying our fiber‑optic service, and we want to make sure it stays a perfect fit for you. To show our appreciation, we’re offering a 10 % discount on your monthly $95.65 bill for the next three months, plus an easy upgrade to a longer‑term contract that locks in this lower rate and adds priority tech support and online security at no extra cost. If you’d like to take advantage of the discount or discuss the upgraded plan, just reply to this email or give us a call—our team is ready to help you stay connected without any hassle."
2612-RANWT,79.7,100.15,23.96,7981.96,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,12,"We’ve noticed you’ve been enjoying our fiber‑optic service for a year now, and we truly value having you with us on a flexible month‑to‑month plan. To thank you for staying connected, we’d like to offer you a 10 % discount on your next three bills, plus the option to upgrade to a longer‑term contract that locks in an even lower rate and adds complimentary tech‑support and online security protection. If you’d like to take advantage of these savings or discuss any other options, just let us know—we’re here to help you get the most out of your connection."
